order,S(cm),x(cm),B_+(mT),B_-(mT),B_avg(mT),B_ideal(mT),相对误差
1,5,,0.370,-0.358,
2,6,,0.430,-0.412,
3,7,,0.500,-0.480,
4,8,,0.572,-0.550,
5,9,,0.652,-0.632,
6,10,,0.741,-0.715,
7,11,,0.826,-0.800,
8,12,,0.907,-0.871,
9,13,,0.967,-0.934,
10,14,,1.005,-0.970,
11,15,,1.018,-0.980,
12,16,,0.989,-0.970,
13,17,,0.950,-0.922,
14,18,,0.889,-0.856,
15,19,,0.810,-0.775,
16,20,,0.725,-0.689,
17,21,,0.643,-0.606,
18,22,,0.564,-0.524,
19,23,,0.492,-0.454,
20,24,,0.428,-0.388,
21,25,,0.373,-0.332,
