order,R,U(V),I(mA)
1,,0.66,16.30
2,,1.62,13.70
3,,2.59,12.10
4,,3.60,10.43
5,,4.60,8.63
6,,5.81,6.37
7,,6.40,5.24
8,,7.55,3.18
9,,8.54,2.30

