order,R,U(V),I(mA),I(A),R_calculated(ohm)
1,,0.66,16.3,0.0163,40.49
2,,1.62,13.7,0.0137,118.25
3,,2.59,12.1,0.0121,214.05
4,,3.6,10.43,0.01043,345.16
5,,4.6,8.63,0.00863,533.02
6,,5.81,6.37,0.00637,912.09
7,,6.4,5.24,0.00524,1221.37
8,,7.55,3.18,0.00318,2374.21
9,,8.54,2.3,0.0023,3713.04
