order,R,U(V),I(mA),I(A),R_calculated(ohm)
1,,0.53,15.8,33.54
2,,1.81,13.25,136.6
3,,2.62,12.01,218.15
4,,3.5,10.56,331.44
5,,4.51,8.87,508.46
6,,5.54,7.17,772.66
7,,6.52,5.51,1183.3
8,,7.55,3.8,1986.84
9,,8.5,2.21,3846.15
