C(\mu F),I(mA),U(V),P(W),\cos \phi
1,243.5,219.5,25.6,
2,187.9,219.5,25.7,
3,143.4,219.7,25.8,
4,131.9,219.2,25.6,
5,136.9,219.1,25.8,
6,160.2,218.9,25.9,
7,209.1,219.5,26.1,
8,254.7,219.5,26.4,
9,319.2,219.5,26.5,
