光电管电压U(V),光电流I(10e-10 A)
-0.59,0
2.50,185
5.00,243
7.50,279
10.00,310
12.50,335
15.00,351
17.50,364
20.00,380
22.50,398
25.00,409
27.50,413
30.00,419
